Day of week,Date,distance,pace,time,pace
Sunday,6/12/2016,6.25,8:52,55:28,0:08:52
Saturday,6/18/2016,6.25,8:37,53:52,0:08:37
Friday,6/24/2016,5.76,8:30,48:57,0:08:30
Sunday,7/3/2016,6,8:34,51:22,0:08:34
Friday,7/8/2016,5,8:45,43:49,0:08:45
Sunday,7/10/2016,5,8:32,42:43,0:08:32
Tuesday,7/12/2016,5,8:59,44:54,0:08:59
Thursday,7/14/2016,5,9:05,45:27,0:09:05
Sunday,7/24/2016,4,9:40,38:42,0:09:40
Wednesday,7/27/2016,4.56,8:46,40:02,0:08:46
Sunday,7/31/2016,5,9:01,45:06,0:09:01
Saturday,8/6/2016,5.75,15:50,1:31:12,0:15:50
Sunday,8/14/2016,6,8:59,53:56,0:08:59
Sunday,8/21/2016,6.02,8:47,52:56,0:08:47
Saturday,8/27/2016,5.61,11:13,1:02:59,0:11:13
Sunday,9/4/2016,5.11,8:41,44:23,0:08:41
Saturday,9/10/2016,5.99,8:55,53:28,0:08:55
Saturday,9/17/2016,6.05,8:44,52:53,0:08:44
Sunday,9/25/2016,6.5,8:29,55:09,0:08:29
Sunday,10/2/2016,5.99,8:50,52:57,0:08:50
Sunday,10/9/2016,5.99,8:51,53:06,0:08:51
Sunday,10/16/2016,6.01,8:39,51:59,0:08:39
Sunday,10/30/2016,6,8:53,53:22,0:08:53
Saturday,11/5/2016,5,8:25,42:08,0:08:25
Sunday,11/20/2016,5,8:29,42:29,0:08:29
Sunday,11/27/2016,5,8:21,41:46,0:08:21
Sunday,12/4/2016,6,8:37,51:43,0:08:37
Wednesday,12/14/2016,3.04,8:53,27:03,0:08:53
Friday,12/23/2016,5,8:41,43:27,0:08:41
Sunday,1/1/2017,5,8:05,44:11,0:08:50
Sunday,1/15/2017,5,8:39,43:15,0:08:39
Sunday,1/22/2017,5.01,8:39,43:26,0:08:39
Sunday,1/29/2017,5.01,8:40,43:25,0:08:40
Sunday,2/5/2017,5,8:32,42:41,0:08:32
Saturday,2/18/2017,5,8:47,43:57,0:08:47
Thursday,2/23/2017,4.98,9:03,45:05,0:09:03
Sunday,2/26/2017,5,8:42,43:32,0:08:42
Wednesday,3/1/2017,5,8:44,43:39,0:08:44
Sunday,3/12/2017,5.01,8:45,43:52,0:08:45
Sunday,3/19/2017,5.08,8:37,43:51,0:08:37
Sunday,4/2/2017,5,8:35,42:58,0:08:35
Wednesday,4/5/2017,4.5,8:39,38:56,0:08:39
Sunday,4/9/2017,5,8:23,41:58,0:08:23
Thursday,4/13/2017,5.03,8:40,43:39,0:08:40
Sunday,4/16/2017,5.01,8:48,44:08,0:08:48
Wednesday,4/19/2017,4.51,8:47,39:35,0:08:47
Thursday,4/20/2017,4.5,8:35,38:38,0:08:35
Friday,4/21/2017,4.5,8:21,37:35,0:08:21
Saturday,4/22/2017,3.3,8:19,27:31,0:08:19
Sunday,4/23/2017,3.3,8:24,27:44,0:08:24
Monday,4/24/2017,4.5,8:38,38:55,0:08:38
